City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,longyearbyen,78.2186,15.6401,-0.09,69,75,7.2,SJ,1702260817
151,bikenibeu village,1.3673,173.1241,28.98,84,75,2.06,KI,1702260818
152,la ronge,55.1001,-105.2842,-4.86,80,99,2.57,CA,1702260819
153,salair,54.2312,85.7972,-30.91,100,32,0.5,RU,1702260819
154,berezovyy,51.6667,135.7,-20.92,53,3,3.17,RU,1702260819
155,muisne,0.6,-80.0333,25.43,84,100,2.66,EC,1702260820
156,benguela,-12.5763,13.4055,25.85,84,100,1.88,AO,1702260820
157,kruisfontein,-34.0033,24.7314,13.82,92,0,1.71,ZA,1702260821
158,invercargill,-46.4,168.35,16.56,45,47,7.1,NZ,1702260821
159,port blair,11.6667,92.75,27.02,89,20,1.03,IN,1702260822
160,mil'kovo,55.6078,37.7956,-8.7,94,99,5.05,RU,1702260822
161,kani keli,-12.9536,45.1033,28.59,76,38,6.51,YT,1702260823
162,tidjikja,18.5564,-11.4271,19.06,24,4,6.84,MR,1702260823
163,fort st. john,56.2499,-120.8529,-4.54,77,20,1.94,CA,1702260824
164,surgut,61.25,73.4167,-40.9,66,7,1.0,RU,1702260824
165,tutoia,-2.7619,-42.2744,26.9,81,100,6.79,BR,1702260825
